DOUBLES (AABC) — HIT LOG (DATE SORTED) — QUALIFIED FAMILIES ONLY
Each row is one AABC hit in a stream. Member is boxkey4 (sorted digits). fixed_rank is 1–78 family stream rank.
Streams used: 76 (excluded: Maryland | Pick 4 Evening, Maryland | Pick 4 Midday) | Qualified families: 56
--------------------------------------------------------------------------------------------------------------------------------------------
DATE       FAM MEM  STREAM                                   FIX 60H 60/WK  90H 90/WK  180H 180/WK 
2023-02-12 067 0677 Pennsylvania - Pick 4 Evening             NA 019   2.22 027   2.10  050    1.94
2023-02-12 146 1446 Kentucky - Pick 4 Evening                 33 018   2.10 025   1.94  055    2.14
2023-02-12 169 1699 Connecticut - Play 4 Day                  48 018   2.10 031   2.41  056    2.18
2023-02-12 238 2238 Washington, D.C. - DC-4 7:50pm            29 019   2.22 030   2.33  047    1.83
2023-02-12 278 2778 Mississippi - Cash 4 Evening              41 028   3.27 037   2.88  057    2.22
2023-02-12 357 3557 New Mexico - Pick 4 Day                   73 020   2.33 030   2.33  059    2.29
2023-02-12 378 3788 Mississippi - Cash 4 Midday               43 020   2.33 027   2.10  060    2.33
2023-02-12 789 7899 Florida - Pick 4 Midday                   57 021   2.45 031   2.41  061    2.37
2023-02-13 016 0116 Washington, D.C. - DC-4 7:50pm            NA 025   2.92 031   2.41  055    2.14
2023-02-13 028 0288 Delaware - Play 4 Day                     NA 017   1.98 033   2.57  054    2.10
2023-02-13 029 0029 Connecticut - Play 4 Night                NA 019   2.22 030   2.33  053    2.06
2023-02-13 056 0056 Washington, D.C. - DC-4 1:50pm            NA 016   1.87 024   1.87  052    2.02
2023-02-13 129 1299 New York - Win 4 Midday                   34 025   2.92 029   2.26  045    1.75
2023-02-13 129 1129 Tri-State (ME, NH & VT) - Pick 4 Evening  36 025   2.92 029   2.26  045    1.75
